"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",4006.32249009238,0.518871541827859,0.0831600416795794,6.23943340272846,4.39158672675051e-10,2.33462994841384e-09
"Lypla1",3876.08865303007,0.00360615392451243,0.14880079394781,0.0242347760978832,0.980665338955119,0.987593923344712
"LOC118567656",3.96658912126603,0.718782567621419,1.12272835302531,0.640210577816604,0.522035706807773,0.636624655484781
"Tcea1",2792.23513032931,0.12888687525942,0.116177408497719,1.10939705856798,0.267258930737651,0.379318490183465
"Rgs20",12.8531137236463,-1.41783702596092,0.757367906421169,-1.87205849883539,0.0611985107605705,0.110115071876391
"Atp6v1h",9079.5168225663,-0.594990957977035,0.0622299746002515,-9.56116343930873,1.16440259764023e-21,1.27212726909856e-20
"Gm46206",1.39269324268783,3.70713080014651,2.28322747044233,1.62363621151962,0.104453472301695,0.175032476317453
"Rb1cc1",2702.16667900576,0.303160633054701,0.133251519502048,2.27510075823219,0.0228998861985007,0.0463202243560582
"St18",938.959241949145,-1.98629780698744,0.110095889498927,-18.0415255830854,9.19695723296576e-73,4.20547580740502e-71
"Pcmtd1",2785.92498676245,-0.837657965730039,0.150237286915899,-5.57556637853125,2.46725804071697e-08,1.11285841663488e-07
"Gm26901",15.0553107061065,0.247076000992397,0.664785912176051,0.371662510391715,0.710144140976058,0.794492264662017
"Rrs1",2838.68002762911,0.23239573592159,0.0847597275894402,2.74181787189395,0.00611002096482402,0.0139976560149691
"Adhfe1",1182.79551300934,-1.31283104313131,0.091963291230327,-14.2755987260532,3.10608650394689e-46,8.00431472662586e-45
"2610203C22Rik",855.496357590972,-0.0651600935375445,0.116559486969818,-0.559028657653728,0.576142162255621,0.684891435389224
"Vxn",23.2049698769995,-0.552299557926586,0.443502473150163,-1.24531336658316,0.213016584212394,0.316489216527291
"Mybl1",392.16924688137,-0.270919327172166,0.209457900050455,-1.29343093340908,0.195862057192688,0.29518447327611
"Vcpip1",5707.85912583161,-0.709155839719811,0.153125738489703,-4.63119947511305,3.63553400962695e-06,1.3168615843884e-05
"1700034P13Rik",22.7699485795398,-0.69629250673369,0.476582308646595,-1.46101207304785,0.144012128228344,0.22905599158976
"Gm39590",2.70513814509626,-2.07954496799846,1.53722236976175,-1.35279385006658,0.176121498023589,0.270336729719463
"Sgk3",4621.93795751518,-0.915778476525181,0.138610857570475,-6.60683075320823,3.92634470108164e-11,2.27560861090326e-10
