"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"18","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)",40,-0.47996627314049,-1.78965321161222,0.00343727507472131,0.0271544730902983,0.0191763767326557,397,"tags=38%, list=17%, signal=32%","12702/329244/14600/20846/16184/16153/246779/12703/16196/15977/12981/16193/16160/209590/12985"
"19","mmu05145","Toxoplasmosis - Mus musculus (house mouse)",29,-0.511316581404136,-1.77054659880322,0.00302790797728219,0.0271544730902983,0.0191763767326557,450,"tags=45%, list=19%, signal=37%","21939/14969/21926/20846/54396/15944/16153/16782/16145/12703/12265/16160/18126"
"20","mmu05162","Measles - Mus musculus (house mouse)",35,-0.485409716275025,-1.75495997260247,0.00338321179108643,0.0271544730902983,0.0191763767326557,714,"tags=63%, list=31%, signal=44%","230073/15511/20847/246730/246728/246727/14102/23960/23961/71586/69142/27218/20846/16184/17858/16175/54123/16176/15977/17857/16193/16160"
"21","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)",60,-0.425486799447547,-1.69271356315873,0.00398078539144691,0.0299506710404101,0.0211510401751064,1031,"tags=73%, list=44%, signal=42%","16391/14972/14964/21355/21929/12010/15006/100529082/18035/16408/15894/667977/14960/630294/21356/230073/15007/20847/246730/246728/246727/69717/15039/15015/15024/14102/23960/23961/15040/15042/110558/17869/21354/21939/14969/21926/20846/14990/54123/110557/100038882/15977/15945/16193"
"22","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)",51,-0.428722823026412,-1.66933209023882,0.00417438719743302,0.0299796898724735,0.021171533154445,1128,"tags=84%, list=48%, signal=45%","14991/12774/12927/231991/18751/19217/14972/20302/14964/21355/20296/12010/12768/20779/15006/100529082/18035/667977/630294/21356/20303/20312/15007/69717/15039/15015/15024/14102/15040/15042/110558/17869/21354/19225/21926/12771/14990/20293/16176/110557/15977/16193/20304"
"23","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)",29,-0.494768994544579,-1.71324692439772,0.00492655556989021,0.0338432947844632,0.0238999949843644,776,"tags=93%, list=33%, signal=63%","14991/14961/19275/14972/14964/15006/100529082/667977/14960/630294/15007/16992/69717/15039/15015/15024/14102/15040/15042/110558/14969/21926/14990/16175/16176/110557/16160"
"24","mmu01200","Carbon metabolism - Mus musculus (house mouse)",12,0.537204301075269,2.11934545131085,0.00602967122274856,0.0380289201243456,0.0268558663103306,1088,"tags=100%, list=47%, signal=54%","68738/108037/269951/100678/236539/20425/20917/19139/13885/75731/13807/212032"
"25","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)",13,-0.617013254504803,-1.77893575407611,0.00624863662191965,0.0380289201243456,0.0268558663103306,470,"tags=62%, list=20%, signal=49%","80861/71586/21926/54123/100038882/15977/15945/16160"
"26","mmu05143","African trypanosomiasis - Mus musculus (house mouse)",11,-0.646736248158021,-1.77075139647825,0.00625792356476573,0.0380289201243456,0.0268558663103306,571,"tags=73%, list=24%, signal=55%","209176/14102/21926/16153/16176/22329/16193/16160"
"27","mmu05144","Malaria - Mus musculus (house mouse)",18,-0.559415785295768,-1.74887262280609,0.0079104484489987,0.0416616951647265,0.0294213170383811,450,"tags=50%, list=19%, signal=41%","21939/21926/16153/20293/16176/27007/22329/16193/12985"
"28","mmu05330","Allograft rejection - Mus musculus (house mouse)",27,-0.501425722082339,-1.71772345741018,0.00740178686014983,0.0416616951647265,0.0294213170383811,776,"tags=78%, list=33%, signal=53%","15006/100529082/667977/14960/630294/15007/69717/15039/15015/15024/14102/15040/15042/110558/21939/14969/21926/14990/16153/110557/16160"
"29","mmu05146","Amoebiasis - Mus musculus (house mouse)",27,-0.498596018318743,-1.70802980126493,0.00781996257855752,0.0416616951647265,0.0294213170383811,528,"tags=48%, list=23%, signal=38%","12827/20706/11846/21926/16153/16782/16176/330122/12981/20310/16193/16160/18126"
"30","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)",48,-0.431397075710075,-1.67018317396236,0.00759153550711322,0.0416616951647265,0.0294213170383811,1031,"tags=77%, list=44%, signal=44%","16391/14972/14964/15162/12768/20779/142980/15006/100529082/16452/18035/15894/667977/630294/15007/20847/69717/15039/15015/15024/14102/15040/15042/12266/110558/17869/19225/20846/12771/14990/54123/330122/110557/15977/12981/20310/16193"
"31","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)",54,-0.421309466696721,-1.65595209864626,0.0085955180618949,0.043809414638045,0.0309380276591124,625,"tags=43%, list=27%, signal=32%","246730/246728/246727/23960/23961/12266/71586/50908/21926/20846/20293/17858/16176/12263/100038882/14962/15977/12981/17857/15945/16193/16160/12985"
