"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Significance","Label","Comparison","Mean_log2FC"
"Pyroptosis","Pyroptosis",23,0.519939366128355,1.29041048922455,0.100840336134454,0.504201680672269,0.504201680672269,3611,"tags=30%, list=16%, signal=26%","Elane/Il1a/Tnf/Nod1/Il6/Gsdme/Il18","","Pyroptosis ","M2_NLRP3_vs_U",0.248251962639485
"M1_polarization","M1_polarization",35,0.412206129139772,1.12090716277205,0.260355029585799,0.591259640102828,0.591259640102828,4279,"tags=31%, list=19%, signal=25%","Pla1a/Ccl5/Slco5a1/Ido1/Tnf/Il6/Slc7a5/Ak4/Pfkp/Irf1/Irf7","","M1_polarization ","M2_NLRP3_vs_U",0.195508518280631
"Aerobic_Glycolysis","Aerobic_Glycolysis",19,0.449610811542114,1.06561725199336,0.354755784061697,0.591259640102828,0.591259640102828,5890,"tags=53%, list=26%, signal=39%","Hk1/Eno1/Slc16a3/Aldoa/Pfkp/Slc16a1/Tpi1/Pgk1/Ldha/Gpi1","","Aerobic_Glycolysis ","M2_NLRP3_vs_U",0.158916441345253
"M2_polarization","M2_polarization",35,-0.406274564315179,-0.980254253195235,0.496987951807229,0.621234939759036,0.621234939759036,4830,"tags=29%, list=22%, signal=22%","Egr2/Hexb/Kmt2a/Cd36/Lpar6/Cxcr4/Msr1/Fn1/Fgl2/Hs3st2","","M2_polarization ","M2_NLRP3_vs_U",-0.223088156875315
"Inflammasome","Inflammasome",23,-0.284155199594992,-0.638427645308611,0.955038759689922,0.955038759689922,0.955038759689922,6612,"tags=39%, list=30%, signal=28%","Pstpip1/Tnfsf14/Tnfaip3/Nlrp3/Ctsb/Card6/Txnip/Il18bp/Ctsl","","Inflammasome ","M2_NLRP3_vs_U",-0.0848480745236094
"Aerobic_Glycolysis","Aerobic_Glycolysis",19,0.603216878676542,1.47426971560093,0.0524264553240238,0.13106613831006,0.110371484892682,5463,"tags=79%, list=24%, signal=60%","Slc16a3/Hk1/Pfkp/Slc2a1/Aldoa/Eno1/Pfkl/Tpi1/Pgam2/Pgk1/Slc16a1/Ldha/Gpi1/Pgam1/Pfkm","","Aerobic_Glycolysis ","M2_Combo_vs_U",0.330127217006509
"M1_polarization","M1_polarization",35,0.517277168594255,1.44083964410997,0.0488101121210835,0.13106613831006,0.110371484892682,2920,"tags=31%, list=13%, signal=27%","Pla1a/Ccl5/Il6/Il2ra/Tnf/Ak4/Hsd11b1/Slc7a5/Pfkp/Irf7/Xaf1","*","M1_polarization *","M2_Combo_vs_U",0.267693500980286
"Pyroptosis","Pyroptosis",23,0.467338658041454,1.1920888552942,0.203225806451613,0.338709677419355,0.285229202037351,3294,"tags=26%, list=15%, signal=22%","Elane/Il6/Il1a/Tnf/Nod1/Gsdme","","Pyroptosis ","M2_Combo_vs_U",0.271762886241813
"M2_polarization","M2_polarization",35,-0.282169968432725,-0.693624110000641,0.947510094212651,0.964516129032258,0.812224108658744,6457,"tags=40%, list=29%, signal=28%","Cd302/Slc38a6/Egr2/Ms4a4a/Clec7a/Cd36/Hexb/P2ry14/Kmt2a/Lpar6/Msr1/Fgl2/Cxcr4/Hs3st2","","M2_polarization ","M2_Combo_vs_U",-0.107085992056139
"Inflammasome","Inflammasome",23,0.261937015938565,0.668149728503063,0.964516129032258,0.964516129032258,0.812224108658744,2667,"tags=13%, list=12%, signal=11%","Ptgs2/Il1a/Bcl2","","Inflammasome ","M2_Combo_vs_U",0.0137543741080919
"Pyroptosis","Pyroptosis",23,0.525970739114857,1.29880191052714,0.137142857142857,0.447680690399137,0.447680690399137,4292,"tags=39%, list=19%, signal=32%","Elane/Il6/Il1a/Nod1/Il1b/Nod2/Il18/Tnf/Gsdme","","Pyroptosis ","M2_Combo_vs_ADT",0.309831826378576
"Aerobic_Glycolysis","Aerobic_Glycolysis",19,0.496814775107572,1.16151988835681,0.226890756302521,0.447680690399137,0.447680690399137,5605,"tags=63%, list=25%, signal=47%","Pfkp/Hk1/Slc16a3/Eno1/Tpi1/Pgam2/Aldoa/Pfkl/Pgk1/Pfkm/Gpi1/Ldha","","Aerobic_Glycolysis ","M2_Combo_vs_ADT",0.192858632727798
"M1_polarization","M1_polarization",35,0.41604436270729,1.10894461754371,0.268608414239482,0.447680690399137,0.447680690399137,4372,"tags=43%, list=20%, signal=35%","Pla1a/Il6/Il2ra/Ccl5/Xaf1/Pfkp/Irf1/Ak4/Irf7/Slc7a5/Edn1/Tnfsf10/Tnf/Slc2a6/Fas","","M1_polarization ","M2_Combo_vs_ADT",0.196899780769313
"M2_polarization","M2_polarization",35,-0.378665372686755,-0.899256873640402,0.646464646464647,0.808080808080808,0.808080808080808,4445,"tags=26%, list=20%, signal=21%","Cd36/Kmt2a/Car2/Lpar6/Cxcr4/Msr1/Cel/Fn1/Hs3st2","","M2_polarization ","M2_Combo_vs_ADT",-0.202489591883261
