"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Significance","Label","Comparison"
"Pyroptosis","Pyroptosis",23,0.519939366128355,1.29698016794317,0.116477272727273,0.465909090909091,0.465909090909091,3611,"tags=30%, list=16%, signal=26%","Elane/Il1a/Tnf/Nod1/Il6/Gsdme/Il18","","Pyroptosis ","M2_NLRP3_vs_U"
"M1_polarization","M1_polarization",35,0.412206129139772,1.10816052982376,0.290697674418605,0.581395348837209,0.581395348837209,4279,"tags=31%, list=19%, signal=25%","Pla1a/Ccl5/Slco5a1/Ido1/Tnf/Il6/Slc7a5/Ak4/Pfkp/Irf1/Irf7","","M1_polarization ","M2_NLRP3_vs_U"
"M2_polarization","M2_polarization",35,-0.406274564315179,-0.984369058078488,0.507598784194529,0.676798378926038,0.676798378926038,4830,"tags=29%, list=22%, signal=22%","Egr2/Hexb/Kmt2a/Cd36/Lpar6/Cxcr4/Msr1/Fn1/Fgl2/Hs3st2","","M2_polarization ","M2_NLRP3_vs_U"
"Inflammasome","Inflammasome",23,-0.284155199594992,-0.646878091215265,0.958461538461538,0.958461538461538,0.958461538461538,6612,"tags=39%, list=30%, signal=28%","Pstpip1/Tnfsf14/Tnfaip3/Nlrp3/Ctsb/Card6/Txnip/Il18bp/Ctsl","","Inflammasome ","M2_NLRP3_vs_U"
