"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",4405.82064342382,0.103787173158352,0.0418894417115008,2.47764517543946,0.0132252593723481,0.0438435134070054
"Lypla1",4118.60477450394,0.113794489127778,0.0778181966465221,1.46231208164168,0.143655709277452,0.290688472530126
"LOC118567656",2.58241228360135,3.12945265093714,1.48530803964975,2.10693847161502,0.035122913284659,0.0975269058186663
"Tcea1",2424.12710671687,0.0659400891838084,0.0530931226714952,1.24197044486913,0.21424746684107,0.387607171279182
"Rgs20",13.5576314435985,-0.467746016975768,0.630407443512433,-0.741974134013447,0.458103007426114,0.640208287597466
"Atp6v1h",7616.2362592417,-0.0485528152741143,0.0369394670099196,-1.31438862561487,0.188715456235817,0.353701532926349
"Rb1cc1",3067.17861473025,0.0369105630331184,0.0541573203352688,0.681543377785648,0.495527729001501,0.671105860778088
"St18",251.493683970383,-0.0519519228937461,0.156997994366426,-0.330908194740965,0.740713831861123,0.850686837240929
"Pcmtd1",3117.34308905986,-0.289070619777473,0.0776960911774306,-3.72052976406931,0.000198805308891139,0.00116105674739959
"Gm26901",12.719536203515,-0.631338090682164,0.666647963176518,-0.947033705276612,0.343621604144735,0.532937779514925
"Sntg1",1.89890758971661,-0.681672866923399,1.60448466572444,-0.424854709730501,0.670942592253999,0.803999912546862
"Rrs1",2395.33189839067,0.0650737783031214,0.0740101880731056,0.879254329672057,0.379263392532425,0.5683616905059
"Adhfe1",855.912097644814,0.138473720440342,0.080098731373583,1.72878793541057,0.0838470561948721,0.192737366752193
"2610203C22Rik",782.013607832632,-0.0518948333307744,0.0881186898414333,-0.588919710723769,0.555915134673624,0.719271003859739
"Vxn",14.2680211853143,-0.0867938485579217,0.527312607782701,-0.164596573791174,0.869261528153483,0.931166389867876
"Mybl1",252.389932670119,-0.491308105746645,0.137119241505982,-3.58307193323566,0.000339577045349411,0.00188582867551811
"Vcpip1",4916.9099134371,-0.0845133605642086,0.0620258125104895,-1.3625514466242,0.173023919767678,0.33190047141498
"1700034P13Rik",18.477640940253,-0.460824247444705,0.48541796682514,-0.949334962730594,0.342450276842558,0.532170565706783
"Sgk3",3606.86308047968,-0.222364401556127,0.0458275475625152,-4.85219946044005,1.22099730125956e-06,1.12974741891333e-05
"Gm6195",130.037567373714,0.321253332738289,0.192193394201843,1.6715107929303,0.0946208286796883,0.211440617842475
"Snhg6",1302.48672627151,0.413724036260524,0.0749883144604051,5.5171800998271,3.4448236159196e-08,4.07263470583595e-07
"Snord87",5.71276982299668,-1.36643294391294,0.899329322719132,-1.51939107220647,0.128664087855546,0.266928284766009
"Tcf24",4.19447664081782,2.46188593676632,1.1527544284906,2.13565515422906,0.0327075322767831,0.0922001249878546
"Cops5",5998.51109252113,-0.0446956414828788,0.0529942691027903,-0.843405187760678,0.399001871538357,0.58717944491914
"Cspp1",875.970957339378,-0.066561110536356,0.0712614265559878,-0.934041230343054,0.350282625371574,0.539268068664888
"Arfgef1",10227.0374122802,-0.0888659474673139,0.0495046298694247,-1.79510376507632,0.0726371690178449,0.173163320366444
"Ncoa2",3987.11391373947,0.0250000113795185,0.0498590539154883,0.501413673470295,0.616080018672429,0.764289596750894
"Tram1",11286.5657371459,0.102257658110985,0.0502053995287006,2.03678606426641,0.0416714854230376,0.11212874767789
"Lactb2",2362.11287111047,0.0756560798875007,0.0558572116501837,1.35445500504592,0.175591259151156,0.335733414695588
"Xkr9",2.85082416571959,-0.350689781843241,1.26156847050251,-0.277979190224654,0.781028333231873,0.877992373513315
"Gm5523",1.88193840747846,-0.562424001558132,1.63614677283493,-0.343749112791163,0.731034972658362,0.844792443914463
"Eya1",9764.82291877303,-0.0382618266400788,0.038918614116438,-0.983124078509214,0.325546374951238,0.515406818318122
"Gm51616",22.0881034473055,-0.809517459294104,0.530700596345312,-1.52537506999026,0.127165573217746,0.264583850751359
"Terf1",916.788839024111,-0.176537198443704,0.073462562700667,-2.40309066215166,0.0162571563474071,0.0521567976367084
"Rpl7",40676.6230819207,0.152966923575459,0.026722723296775,5.72422660208135,1.03905986893217e-08,1.33031882133982e-07
"Rdh10",274.38679127698,-0.789218077117918,0.132311786585534,-5.96483576773202,2.44880218238044e-09,3.43915109219348e-08
"Stau2",3046.11416562463,0.117058136746681,0.0439886133522294,2.66110085829175,0.0077885623030103,0.0281805134138351
"Ube2w",1726.48854434502,0.246196359462133,0.0633647415059681,3.88538410495915,0.000102168224200256,0.000635081065446527
"Eloc",3846.3156910522,-0.0916039035775974,0.0572374672866111,-1.60041853562282,0.109505765842005,0.236417938385171
"Tmem70",3657.05947554085,0.0806348552749832,0.0438748071206706,1.83783953860378,0.0660860535216791,0.161032959745161
"Ly96",675.598384746721,-0.290696918850508,0.0806583747604321,-3.60405128065031,0.000313295200752573,0.00175046804317642
"Pkhd1",15.819095874606,-1.43186971229461,0.558387363512066,-2.56429462029483,0.0103385745103169,0.0357296289207771
"Mcm3",8667.05742396692,-0.253363175436683,0.0516689863919277,-4.90358323491838,9.41040401897273e-07,8.87113200783982e-06
"Tram2",293.426685552675,0.0080635008478972,0.119169867456339,0.0676639239432859,0.946053167988374,0.972398799321511
"Tmem14a",129.927327900784,0.14806174262334,0.208023455677185,0.711755038110244,0.476616479298673,0.656000443372355
"Gsta3",281.867544843855,1.02856977587977,0.121026139003905,8.49874072118071,1.91658456185188e-17,6.26818032149417e-16
"Gm7094",67.527824383247,-0.335561536798405,0.239769888640936,-1.39951492116227,0.161658627046557,0.316129548644896
"Gm53541",13.0752301542297,-1.02492813639903,0.650032336702832,-1.57673407695037,0.114856725909965,0.245435850061973
"Ogfrl1",2363.02159253355,0.250989510120582,0.0639418263946353,3.92527902740106,8.66292624666743e-05,0.000548187317586051
"B3gat2",5.92644135596943,-1.592127385538,0.934191499956353,-1.70428374226524,0.0883280907760055,0.200802029904543
"Smap1",2407.61021090491,0.00192179860576504,0.0510854663617964,0.0376192827947291,0.969991233356462,0.984217319963444
"Sdhaf4",719.768878812725,-0.121968582658191,0.0964052534074335,-1.26516531358224,0.205812073723193,0.37643305311006
"Fam135a",245.009024191219,-0.362931607491817,0.142827061023301,-2.54105632988281,0.0110518112250983,0.0378147325862281
"Lmbrd1",4506.95685523765,-0.0292691961839648,0.0463041532774866,-0.632107362131502,0.527316724807824,0.697290874853965
"Gm46086",69.2835614544954,0.171249026295497,0.23980998010213,0.714103000311186,0.475163490835408,0.654661598102774
"Phf3",7724.51314842711,0.0144735331902475,0.0428099356066235,0.338088179418055,0.735296738073732,0.847251815477762
"Ptp4a1",790.003936770899,0.330821261033478,0.117183735227812,2.82309878918216,0.00475619137326334,0.018522343013633
"Gm53209",5.58745549510537,0.757222915670358,0.933367567112261,0.811280509792219,0.41720460011134,0.603640050410766
"Prim2",2154.01331324106,-0.344534006170378,0.0545976788298369,-6.31041490324483,2.78288396457054e-10,4.40672210535445e-09
"1700001G17Rik",3.76232913930216,0.186823611231313,1.35629741705211,0.137745312261504,0.890441706701156,0.943694508975635
"Rab23",443.717329771888,-0.261113498248519,0.118377806125719,-2.20576395858538,0.0274005310531444,0.0798706619967759
"Bag2",1563.42544310359,-0.0796373189888483,0.0735686869918062,-1.08248933405211,0.279035152227588,0.466310287786183
"Zfp451",1850.56971166549,-0.246344635301192,0.060443976685025,-4.07558616774835,4.58985819384389e-05,0.000308908304521294
"Gm15455",379.064745146855,-0.011597500064503,0.115799337816805,-0.100151695883186,0.920223894225307,0.959731766320119
"Bend6",307.480356944813,0.743780977111163,0.120837270063172,6.15522823978336,7.49694480201709e-10,1.11851436630636e-08
"Dst",4708.18691213063,0.0512923530350348,0.213079842722903,0.240718936055052,0.809772961612636,0.896332534341242
"Gm53546",15.7107355302494,0.224852166589894,0.595329473749747,0.377693657889367,0.705658179708927,0.828333368590806
"Gm3052",2.31451367339297,1.03702552911967,1.66516570899291,0.622776173878132,0.533431617536379,0.702010760635707
"Gm37233",21.8072132448365,-0.153078363350398,0.5250327277944,-0.29155965951582,0.770623322904533,0.870546989567149
"Ccdc115",2377.15926090678,-0.0443767757563526,0.0460287867039859,-0.964109178930624,0.334991191268171,0.524179489813842
"Imp4",5955.10666411211,-0.187020261773414,0.0550091194185617,-3.39980468239068,0.000674340039417205,0.00345669029596861
"Gm32504",4.17169781852026,-0.578733690747002,0.984954587712235,-0.58757398357952,0.556818277938391,0.719835824388329
"Ptpn18",2441.489997481,0.0411843406099056,0.125241694556214,0.328838896310368,0.742277461542929,0.851761124809546
"Gm28417",62.7732384203653,-0.374585942292042,0.266607524027255,-1.40500889334897,0.160018633741447,0.313507444231761
"4930568A12Rik",19.1518944633398,0.103741989024139,0.443064006668639,0.234146731539233,0.814871067584802,0.89912746103628
"Gm32566",1.71582154514812,-3.01669845430749,1.77605041301916,-1.69854325766537,0.0894052755336875,0.202442765384478
"Gm32790",12.5497536033307,-0.0405565839963955,0.56397688476779,-0.0719117841382703,0.942672111945225,0.970465162431424
"Fam168b",17841.6004853873,-0.15639138951859,0.0321447980531788,-4.86521611552399,1.14331807902273e-06,1.06323431267677e-05
"Plekhb2",13196.486015585,0.00655731103149949,0.0392328239983468,0.167138389828267,0.867261160129565,0.929976438590776
"Gm39624",1.80757716325681,-3.66973297300128,1.78368796958596,-2.05738505589244,0.0396492014882581,0.107758139177237
"Hs6st1",3324.53146030748,-0.239826514179991,0.0489932114543427,-4.89509683200678,9.82573351412242e-07,9.25737676664267e-06
"Gm53548",35.4217465551987,-0.500117286025009,0.436196884309091,-1.14654025284285,0.251571681807143,0.434755456390788
"Gm33280",8.62560301582598,-1.2497916881731,0.962755156096221,-1.29814073729893,0.194238978002824,0.360779460267053
"Uggt1",11864.5940810101,-0.296660152909377,0.0498763927883828,-5.94790714252446,2.71592583644199e-09,3.77577702985487e-08
"Neurl3",1604.98352302872,0.374874975100214,0.0675360590996789,5.55073808122151,2.84466012006917e-08,3.39223151935469e-07
"Arid5a",673.831233094555,0.258920382897504,0.085615628437179,3.02421868090928,0.00249276183348258,0.0107270595210522
"Kansl3",2295.52142665846,-0.0800747218691106,0.0557771801538728,-1.43561796505682,0.151111079883344,0.300692842813652
"Lman2l",3139.66806481388,-0.414190419543175,0.0590312557307906,-7.01645957578934,2.27560701398451e-12,4.67461759240898e-11
"Gm33454",13.6510850185971,0.931029897315854,0.604312593253376,1.54064288533781,0.123403724418835,0.258613870384657
"Cnnm4",923.030214026683,-0.207189211326163,0.0861488309112513,-2.40501477657433,0.0161718118695994,0.0519664733079418
"Cnnm3",2073.10322365513,-0.442858253415914,0.0623361556176979,-7.10435619629681,1.20884715055849e-12,2.54984923864931e-11
"Ankrd23",89.807324814496,-1.18323486790156,0.229436163764496,-5.15714196265974,2.50747694997377e-07,2.61119100288567e-06
"Ankrd39",325.211898894239,-0.150571922373386,0.141456320482012,-1.06444110705208,0.287128920185283,0.47529199393564
"Sema4c",1388.0446440239,0.146564016100484,0.0817544541390166,1.79273432431295,0.0730154153433806,0.173889343880501
"Fam178b",15.0896602090572,1.15733729142427,0.515956946722767,2.24308888323996,0.0248910834009496,0.0739390447211892
"Cox5b",2204.00284424445,0.105188693713144,0.0619972056645621,1.69666830279853,0.0897593885430101,0.203081924475339
"Actr1b",3524.53694322481,-0.329499065642767,0.0463870515469275,-7.10325521141238,1.21852083883631e-12,2.56697578752813e-11
"4933424G06Rik",6.02060311638535,0.577154779360079,1.07045777448198,0.539166320352411,0.589772097298289,0.745921119791147
"Tmem131",10307.8797113408,-0.187019062295174,0.0578236219217507,-3.23430210837115,0.00121940392927007,0.005813994023044
"Cnga3",4.924181244828,-0.937968235179575,1.04181322593432,-0.90032283314352,0.367948473377308,0.556505218525607
"Inpp4a",2873.96209939901,-0.303308158797927,0.0603210901994598,-5.02822740429588,4.9503460616458e-07,4.93663559048379e-06
"Coa5",10773.0190302481,-0.029610969636143,0.0302681148306232,-0.978289193160608,0.327931313296996,0.517883651469574
"Unc50",2267.98663975103,-0.212152675147772,0.0517406311489583,-4.10031092463864,4.12595418940548e-05,0.000281007255225653
"Mgat4a",2796.96086632249,-0.133388304265973,0.0588342376332247,-2.26718845406857,0.0233787158490967,0.0703192261816939
"4930594C11Rik",10.9009909802754,0.0463507866336734,0.594482085714374,0.0779683488325386,0.937853230297002,0.96822002447714
"Cracdl",6.96428342743069,0.897292156747463,0.834292138748562,1.0755131387111,0.282145053045789,0.47022277458166
"Tsga10",210.128589121992,-0.44400542626236,0.157406604885149,-2.82075473634875,0.00479108176924682,0.0186362474095338
"Lipt1",159.507983410088,0.109036751061394,0.168808239285313,0.645920788718754,0.518330655626932,0.691051752367969
"Mitd1",703.818290520632,-0.0795435855845461,0.0954741547095386,-0.833142601016388,0.40476430988378,0.592964993972016
"Mrpl30",4446.35826436202,-0.0759655838896576,0.0534757081741524,-1.42056246627465,0.155443996610092,0.306884354497693
"Txndc9",3929.56334606954,-0.0210439439302572,0.0416879149958756,-0.504797227981759,0.613701262983157,0.762906781659976
"Eif5b",16245.885943991,-0.0813308893427028,0.041648777065809,-1.95277977104087,0.0508456965386384,0.130873568036448
"Rev1",865.294666638457,-0.116960812915708,0.0753772061536214,-1.55167349499977,0.120740367763887,0.254326225804352
"Chst10",940.454475276794,-0.107906500584829,0.0744112896088717,-1.45013614401817,0.147020557691363,0.295077352148567
"Pdcl3",3867.29575028997,0.119703616001619,0.0468497179557622,2.55505521110391,0.0106170955993952,0.0365545030059644
"Npas2",143.01790029021,0.788406460885983,0.177800355808115,4.43422318983907,9.24048605743788e-06,7.22613010059867e-05
"Rpl31",463.271773352019,0.0195205331661915,0.0973410570735995,0.200537509587882,0.841060225342401,0.915444225764801
"Tbc1d8",847.698902180073,0.135138534249674,0.0842916197217347,1.60322621271007,0.108884720270323,0.235477286890749
"Gm53550",3.00356787426845,-0.96688041169461,1.61935371668371,-0.597077958776478,0.550455332883985,0.715148216362425
"Cnot11",2562.65917642304,-0.0538203390651322,0.0589364242770794,-0.913193152202535,0.361140964811706,0.550494155498859
"Snord89",11.1113390972001,-1.00370347119029,0.595137140922294,-1.6865078688163,0.0916980207651488,0.206389276500027
"Rnf149",6101.87443675331,-0.48114261145214,0.0512748897895767,-9.38359133343175,6.37630416856458e-21,2.72826527585525e-19
"Creg2",85.658697374823,0.606989091368684,0.238552418892342,2.54446839896693,0.010944421422088,0.037517240391699
"D930019O06Rik",1.78724126376982,-2.17997376603346,1.7839655731739,-1.22198197028826,0.221714445208444,0.397102455272161
"Rfx8",2.75856526078971,0.433790690897155,1.41322635221011,0.30695061001287,0.758880966031758,0.862547521504406
"Map4k4",16701.8688140962,0.0325913676719351,0.0452570680126605,0.720138734193249,0.471439580832303,0.651572896822286
"Il1r2",13.603637273271,0.87989052139437,0.678383275098271,1.29704041018244,0.194617283032311,0.361278975672884
"Il1r1",294.092651676669,0.433067944954449,0.116652656798599,3.71245676557665,0.000205257131065071,0.00119493365409613
"Il1rl2",116.195597548386,0.787431049689994,0.220519293435555,3.57080343140185,0.000355887910404782,0.00196320799206593
"Il1rl1",1272.27572686252,-0.16208415122925,0.0684252500923316,-2.36877689172545,0.0178470157613515,0.0566086637823087
"Il18r1",12.6387837165645,-0.0583788047703034,0.725014285033176,-0.0805209027952215,0.935822972184143,0.966861467899036
"Il18rap",3357.91404098877,0.142654126020158,0.0495790242039235,2.87730806143759,0.00401083827080132,0.016078399242853
"Slc9a4",106.906527111809,0.270716782907047,0.228054119864513,1.18707253816717,0.23519900943004,0.413469594438164
"Mfsd9",210.037124669279,-0.0962301269226066,0.164101989358661,-0.586404389725505,0.557603795089094,0.720383626383877
"Mrps9",2822.70854961412,0.0145574364373667,0.0506841729582809,0.287218584968314,0.773944956819507,0.872702594854303
"Tgfbrap1",4033.17311209913,0.1361411172927,0.0551156944901944,2.47009710304786,0.0135076380763975,0.0446273555650694
"8430432A02Rik",3.12964866950957,0.528656464677874,1.40454620904173,0.376389513762283,0.706627340633688,0.828999656052421
"AI597479",1464.02862374055,0.0100488413179773,0.069537893911921,0.144508853413155,0.885098665819423,0.940264331682871
"Nck2",1636.04897124464,-0.133615206639635,0.0586602349716909,-2.27778164721155,0.0227395903193357,0.0688103836046443
"Uxs1",1811.18657636499,-0.358382391079028,0.05397296240699,-6.64003558627373,3.1360742805474e-11,5.59345602781004e-10
"Tpp2",9707.37368450811,-0.111660448276419,0.0396027087669161,-2.81951542591703,0.00480962191746987,0.0186907566091606
"Mettl21c",1.66332878125108,-3.53675004294653,1.93440750706621,-1.82833763311355,0.0674988951292245,0.163750257337584
"Ccdc168",3.07344385982256,-3.18773620826396,1.50527002195767,-2.11771719476494,0.0341990257396096,0.0955559311648439
"Tex30",797.053132622079,-0.0630552293918119,0.0806501476770664,-0.781836502572731,0.434310665759733,0.61922263084321
"Poglut2",1456.49766745262,-0.139527113448694,0.0728722853700905,-1.91468008365717,0.0555333150328434,0.140543706877481
"Bivm",1406.8267693034,0.137198627137233,0.0647448607261823,2.1190659088367,0.0340848973081104,0.0953015344406215
"Ercc5",1115.29535550296,0.120575849953138,0.0718414875219513,1.67835959571823,0.0932769202799928,0.209140887840327
"Wdr75",2885.84316210304,0.00777969659685825,0.0507935393807421,0.153163112704996,0.878269646190514,0.936382510908432
"Slc40a1",1473.64746547669,1.00331195913343,0.0680603682024501,14.7415006064765,3.48944097691327e-49,6.06648496575785e-47
"Dnah7c",11.3127178450876,-0.1140725695501,0.570545536204466,-0.199935960079478,0.841530666128589,0.915473618876286
"Slc39a10",4159.17441506987,-0.0417197510030282,0.0500085767267944,-0.834251917045158,0.404139040865768,0.592364252656995
"Nabp1",7970.12779343953,-0.629907486139117,0.0668661390515426,-9.42042557075957,4.49263386021054e-21,1.94751550748654e-19
"Gm31812",14.1136051726704,-0.504055772042562,0.670538454468834,-0.751717919655852,0.452220711696788,0.635157685386175
"Stat1",4010.32278310711,0.159294849386461,0.0522833785724698,3.04675890762611,0.00231323166546577,0.0100513902096377
