"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",4405.82064342382,0.144618424236528,0.0421511407231307,3.43094924017484,0.000601473137047536,0.00257957162593537
"Lypla1",4118.60477450394,0.31854828155855,0.0780981603010157,4.07881927475323,4.52650068065437e-05,0.000248867127968334
"LOC118567656",2.58241228360135,2.0388975872478,1.31207147427017,1.55395313992472,0.120195594690614,0.234806367891387
"Tcea1",2424.12710671687,0.113166480307077,0.0534729950775738,2.11632956304215,0.0343167881012822,0.0855675970989621
"Rgs20",13.5576314435985,-0.632890622467352,0.630134130800053,-1.00437445225162,0.315198159398018,0.482108983202229
"Atp6v1h",7616.2362592417,-0.0202191365491186,0.0370897128313684,-0.545141361461779,0.585656297481292,0.732451202569794
"Rb1cc1",3067.17861473025,0.00782071038865696,0.0543346369470295,0.143936001565287,0.885551006542397,0.936408247906667
"St18",251.493683970383,-0.0410585943390575,0.15793360271125,-0.259973771472337,0.794884005479298,0.879795217430377
"Pcmtd1",3117.34308905986,-0.336437564624425,0.0777881365300323,-4.32504980363598,1.52497405182937e-05,9.25632908490038e-05
"Gm26901",12.719536203515,-0.233078408533437,0.684181637399676,-0.340667442375803,0.733353951276635,0.838437896946207
"Sntg1",1.89890758971661,0.176784735132295,1.66776068138806,0.10600126091542,0.915581351758543,0.954347894345617
"Rrs1",2395.33189839067,0.241512356339379,0.0744765169391467,3.24279875409203,0.00118361783163699,0.00469580401328766
"Adhfe1",855.912097644814,0.443338259103141,0.081742167747046,5.4236175932484,5.84047615851536e-08,5.28844869704165e-07
"2610203C22Rik",782.013607832632,0.0619437531767911,0.0890454567766483,0.695641927382819,0.486653102071966,0.648991385670479
"Vxn",14.2680211853143,-0.327950201034558,0.524761971047252,-0.624950394900144,0.532003615517305,0.687862637789691
"Mybl1",252.389932670119,-0.49350265673735,0.137998978497377,-3.57613267946568,0.000348714716319195,0.00159186629483909
"Vcpip1",4916.9099134371,-0.101225468826938,0.0621284927650769,-1.62929220268865,0.103251176016458,0.208267760513901
"1700034P13Rik",18.477640940253,-0.512220350636055,0.488040845083448,-1.04954402033394,0.293927806102356,0.45957698055349
"Sgk3",3606.86308047968,-0.335999018746773,0.0458800783066265,-7.32341859796356,2.417322523508e-13,4.13297089008883e-12
"Gm6195",130.037567373714,0.000218494092546307,0.19042052760294,0.00114742929922926,0.999084484078426,0.999469568655484
"Snhg6",1302.48672627151,0.689171314194268,0.076207200885769,9.04338836991669,1.5188908963565e-19,4.31772840692322e-18
"Snord87",5.71276982299668,-1.14070260572957,0.912008717392478,-1.25075844558915,0.211022619866167,0.360679870610536
"Tcf24",4.19447664081782,2.57793403030249,1.19075669054403,2.16495447875644,0.0303911715146238,0.0773644557237248
"Cops5",5998.51109252113,-0.0930885673399761,0.053071446494109,-1.75402355672196,0.0794264707944113,0.169593741647123
"Cspp1",875.970957339378,-0.0967999457133197,0.0717122071870158,-1.34983916282033,0.177067579680062,0.316635788869196
"Arfgef1",10227.0374122802,-0.0195562889711891,0.0496066258732427,-0.394227356264065,0.693413190349659,0.810675462009979
"Ncoa2",3987.11391373947,-0.0081204589756236,0.0500039825760987,-0.162396244404442,0.870993828115758,0.927550660287672
"Tram1",11286.5657371459,0.294472776410426,0.0503584793071105,5.84753114990998,4.98922429001159e-09,5.25188198685987e-08
"Lactb2",2362.11287111047,0.126999440602114,0.0562373958347964,2.25827385349047,0.0239285913432122,0.0632327383399189
"Xkr9",2.85082416571959,-0.236584599541007,1.27404921432406,-0.185695024086275,0.852683930659036,0.917155831896101
"Gm5523",1.88193840747846,0.558755053826399,1.72992000859736,0.3229947344672,0.746699229814632,0.847884804373906
"Eya1",9764.82291877303,-0.0643118925699156,0.0389978454616872,-1.64911399100491,0.0991242838548836,0.201966034067019
"Gm51616",22.0881034473055,-0.696106714055827,0.534744404518637,-1.30175595700238,0.192999824113146,0.338528578489031
"Terf1",916.788839024111,-0.281712583942358,0.0736241732390892,-3.82635989714297,0.000130052111990036,0.000652076709662245
"Rpl7",40676.6230819207,0.107803128350671,0.0267470571501687,4.03046689381271,5.56661693457731e-05,0.000300157509929739
"Rdh10",274.38679127698,-0.825686578954712,0.132927121304802,-6.2115734610803,5.24566572937569e-10,6.36199806850606e-09
"Stau2",3046.11416562463,0.185193191563405,0.0444043052497119,4.17061342412527,3.03780808689996e-05,0.000173667145597922
"Ube2w",1726.48854434502,0.313725781614273,0.0638747964920911,4.91157387332134,9.03482355392863e-07,6.81054978624762e-06
"Eloc",3846.3156910522,-0.0730885601688512,0.0574161598585866,-1.27296148591033,0.203031708975521,0.350980919556177
"Tmem70",3657.05947554085,0.127170584617431,0.0441801202844768,2.87845718387764,0.00399625523841479,0.0137161578382499
"Ly96",675.598384746721,-0.419540099461032,0.0807499043123441,-5.19554918403659,2.04116359600202e-07,1.71039360484877e-06
"Pkhd1",15.819095874606,-1.4575797861125,0.560794288619434,-2.59913450563267,0.00934591448539542,0.0286802533706412
"Mcm3",8667.05742396692,-0.425606907020714,0.0516590134918262,-8.23877341537031,1.7398508014848e-16,3.97446415453982e-15
"Tram2",293.426685552675,0.105941339785117,0.120868774707,0.876498831413914,0.380758911394663,0.551584438259298
"Tmem14a",129.927327900784,0.0826997364692995,0.208803192923757,0.396065478268316,0.692056724627383,0.809777461136794
"Gsta3",281.867544843855,1.76893670089708,0.130450183273512,13.5602469579379,6.89037138777533e-42,6.65505110178347e-40
"Gm7094",67.527824383247,-0.424038633117386,0.240592421294467,-1.76247710063317,0.0779887220520564,0.167193890629772
"Gm53541",13.0752301542297,-0.976926361953446,0.654319640756152,-1.49304147560736,0.135426330458874,0.257832999868446
"Ogfrl1",2363.02159253355,0.64782830434012,0.0649528162440947,9.97382933952488,1.98427523504122e-23,7.48225794108236e-22
"B3gat2",5.92644135596943,-1.75098940956277,0.934011425347847,-1.8746980626181,0.0608342735862702,0.137146991885181
"Smap1",2407.61021090491,0.10920994615679,0.0515964462059579,2.11661760038387,0.0342923151475418,0.0855288246718212
"Sdhaf4",719.768878812725,-0.0222348853896592,0.0972480833720735,-0.228640859733842,0.819148064171934,0.894364343747184
"Fam135a",245.009024191219,-0.352032040374226,0.143775976033016,-2.44847609515367,0.014346194935289,0.04118577360529
"Lmbrd1",4506.95685523765,-0.0466215151330474,0.0464551159165287,-1.00358193523438,0.315580165475906,0.482514535548978
"Gm46086",69.2835614544954,-0.446354322769648,0.233446900501403,-1.91201648773642,0.0558740793006661,0.128097764260106
"Phf3",7724.51314842711,0.0287673679135457,0.0429317250170397,0.670072490730989,0.502811580336525,0.663929969686445
"Ptp4a1",790.003936770899,0.600079630858657,0.118405914799467,5.0679869487513,4.02044964413846e-07,3.22338574381509e-06
"Gm53209",5.58745549510537,0.745892516533432,0.94014107782362,0.793383603937546,0.427554360499996,0.595906144980417
"Prim2",2154.01331324106,-0.460071621874896,0.0546665553713012,-8.41596143656828,3.89685498520843e-17,9.35471757786372e-16
"1700001G17Rik",3.76232913930216,-0.320590179042182,1.34121158754206,-0.239030278309558,0.811082104451691,0.890621104788521
"Rab23",443.717329771888,-0.322219986374323,0.118753065912061,-2.71336141007873,0.00666044217729085,0.0214599810768895
"Bag2",1563.42544310359,0.121374862021301,0.0743128948048587,1.63329476452269,0.102407017379881,0.206944120769132
"Zfp451",1850.56971166549,-0.200641433407026,0.0608381313990405,-3.29795522632028,0.000973916628004363,0.00394632164576056
"Gm15455",379.064745146855,-0.0394285402137162,0.116468769256269,-0.338533157562272,0.734961444411107,0.83963638485812
"Bend6",307.480356944813,0.913400415635004,0.123466172738057,7.39798112615715,1.38270497207886e-13,2.41914780920069e-12
