"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",4405.82064342382,-0.0130496529081459,0.0418695864773704,-0.311673794896421,0.755288445252631,0.890994312021613
"Lypla1",4118.60477450394,0.170932687920169,0.0779329201628193,2.19333097698704,0.0282835413503963,0.130924694215737
"Tcea1",2424.12710671687,0.0288148415693677,0.0532096183431092,0.541534453105118,0.5881392570399,0.794639166355965
"Atp6v1h",7616.2362592417,0.0565753055103767,0.0371117216262899,1.5244592013295,0.127394041074392,0.3441456045297
"Rb1cc1",3067.17861473025,0.0525001455425423,0.054323924008139,0.966427711199151,0.333830203242163,0.601258638855799
"St18",251.493683970383,0.240115241961954,0.159428874298248,1.5060963267718,0.132042447443263,0.351409062320285
"Pcmtd1",3117.34308905986,0.123409442045517,0.0782132815497969,1.57785787273156,0.11459826492496,0.322628740970515
"Rrs1",2395.33189839067,0.0226270411027017,0.0740850053343818,0.305419983444353,0.76004630384613,0.892708650466421
"Adhfe1",855.912097644814,0.413513462379269,0.0814156301825328,5.07904270288367,3.79341446489601e-07,1.43702002384946e-05
"2610203C22Rik",782.013607832632,-0.032532817558916,0.0885188663502507,-0.367524109834286,0.713228111192461,0.868990572257482
"Mybl1",252.389932670119,0.0493859911884254,0.141548016303943,0.348899210868345,0.727164977635979,0.877396827343
"Vcpip1",4916.9099134371,0.0291819105570817,0.0621917367214868,0.469224885739516,0.638908899281686,0.825999040203715
"Sgk3",3606.86308047968,-0.110580081574033,0.0461302212607604,-2.39712879218498,0.0165241144721879,0.0886760885330512
"Gm6195",130.037567373714,-0.181626579671582,0.188258043985975,-0.964774603124595,0.334657719139905,0.602279639710665
"Snhg6",1302.48672627151,0.280045289856079,0.0749090524964663,3.73847059231312,0.000185143144611579,0.00280727544992413
"Cops5",5998.51109252113,-0.0485069342760559,0.0530654239585559,-0.914096800846061,0.360665983392246,0.625712075468679
"Cspp1",875.970957339378,0.0519533434235295,0.0720991212243264,0.720582200466548,0.471166608404194,0.714123560037385
"Arfgef1",10227.0374122802,0.0510809520964047,0.0496155837626954,1.02953443701717,0.303228606057397,0.569587137532661
