"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","CC","GO:0005575","cellular_component",204,0.291184372083163,2.12543500939294,2.66301139476405e-06,0.00129688654925009,0.00129688654925009,130,"tags=53%, list=41%, signal=89%","Matn3/Lipg/Lexis1/Mc1r/Chrng/Spib/Apol9b/Sgms2/Gm7609/Tspear/Slc22a12/G0s2/Nxpe2/1700020L24Rik/Ighm/2900041M22Rik/Akap12/Apol7c/Gm7854/Rnase2a/Gm16299/Rtp4/Ciita/Ptgds/Il4/Olr1/Prcd/Ptger3/Gm12506/Alpk2/Gm15742/Cables1/Slc25a34/Cbfa2t3/Cp/Dpp10/Axl/Sparc/Dok7/Plekhg5/Scn3a/Smoc2/Prtg/Ccl24/Sema3b/Asgr2/Spic/Arhgef18/Cmklr1/Ablim1/Itgb4/Nfe2/Crtac1/Scd1/Tspan8/Gm1965/Shroom1/A430093F15Rik/Bex2/AU019990/Gm13373/Sh3d19/Slc14a1/Sla2/Slfn5/Slc7a13/Cmah/Irf4/Aqp8/Pvrig/Plvap/Hp/Bex6/Ifit3/Cd4/Tcea3/Cd38/Scimp/Apof/Klk1b11/Zbp1/St7/Kcne3/Pianp/Map2/B4galnt4/Isg20/St8sia1/Rundc3b/Ccr3/Fam227a/A530013C23Rik/Dusp6/H1f3/Layn/Hmox1/Flrt2/Riiad1/Igsf11/Trib1/Adam8/Pla2g4c/Dnm1/H2ac19/Marchf3/Perm1/Malat1/Ndnf"
"2","MF","GO:0003674","molecular_function",203,0.28091544623563,2.02820171606657,1.08945444243426e-05,0.00265282156732742,0.00265282156732742,130,"tags=53%, list=41%, signal=87%","Matn3/Lipg/Lexis1/Mc1r/Chrng/Spib/Apol9b/Sgms2/Gm7609/Tspear/Slc22a12/Nxpe2/1700020L24Rik/Ighm/2900041M22Rik/Akap12/Apol7c/Gm7854/Rnase2a/Gm16299/Rtp4/Ciita/Ptgds/Il4/Olr1/Prcd/Ptger3/Gm12506/Alpk2/Gm15742/Cables1/Cbfa2t3/Cp/Dpp10/Axl/Sparc/Dok7/Calml4/Plekhg5/Scn3a/Smoc2/Prtg/Ccl24/Sema3b/Asgr2/Spic/Arhgef18/Cmklr1/Ablim1/Itgb4/Nfe2/Crtac1/Scd1/Tspan8/Gm1965/Shroom1/A430093F15Rik/Bex2/AU019990/Gm13373/Sh3d19/Slc14a1/Sla2/Slfn5/Slc7a13/Cmah/Irf4/Aqp8/Pvrig/Plvap/Hp/Bex6/Ifit3/Cd4/Tcea3/Cd38/Fah/Scimp/Apof/Klk1b11/Zbp1/Kcne3/Pianp/Map2/B4galnt4/Isg20/St8sia1/Rundc3b/Ccr3/Fam227a/A530013C23Rik/Dusp6/H1f3/Layn/Hmox1/Flrt2/Riiad1/Igsf11/Trib1/Adam8/Pla2g4c/Dnm1/H2ac19/Marchf3/Perm1/Malat1/Ndnf"
"3","BP","GO:0008150","biological_process",198,0.263996947864839,1.93191012106214,6.67355837167478e-05,0.0108334097566854,0.0108334097566854,103,"tags=42%, list=33%, signal=77%","Matn3/Lipg/Lexis1/Mc1r/Chrng/Spib/Apol9b/Sgms2/Gm7609/Tspear/Slc22a12/G0s2/Nxpe2/1700020L24Rik/Ighm/2900041M22Rik/Akap12/Gm7854/Rnase2a/Gm16299/Rtp4/Ciita/Ptgds/Il4/Olr1/Prcd/Ptger3/Gm12506/Alpk2/Gm15742/Cables1/Slc25a34/Cbfa2t3/Cp/Dpp10/Axl/Sparc/Dok7/Plekhg5/Scn3a/Smoc2/Prtg/Ccl24/Sema3b/Asgr2/Spic/Arhgef18/Cmklr1/Ablim1/Itgb4/Nfe2/Crtac1/Scd1/Tspan8/Gm1965/Shroom1/A430093F15Rik/Bex2/AU019990/Gm13373/Sh3d19/Slc14a1/Sla2/Slfn5/Slc7a13/Cmah/Irf4/Aqp8/Pvrig/Plvap/Hp/Bex6/Ifit3/Cd4/Tcea3/Cd38/Fah/Scimp/Apof/Klk1b11/Zbp1/Kcne3/Pianp/Map2"
